nr menace random draw
1 33 10 6
2 38 4 7
3 36 1 12
4 38 0 11
5 36 2 11
6 36 0 13
7 34 1 14
8 36 1 12
9 35 0 14
10 34 0 15
11 35 0 14
12 34 1 14
13 34 1 14
14 36 1 12
15 36 1 12
16 35 0 14
17 34 0 15
18 34 0 15
19 37 0 12
20 34 2 13
21 35 0 14
22 37 0 12
23 31 3 15
24 34 1 14
25 33 0 16
26 35 1 13
27 35 0 14
28 32 1 16
29 32 0 17
30 36 0 13
31 32 1 16
32 35 0 14
33 36 0 13
34 33 0 16
35 33 0 16
36 35 0 14
37 32 0 17
38 34 1 14
39 29 2 18
40 35 0 14
41 34 2 13
42 35 0 14
43 33 1 15
44 35 1 13
45 35 0 14
46 34 0 15
47 35 0 14
48 33 1 15
49 35 0 14
50 34 0 15
51 36 0 13
52 30 2 17
53 37 0 12
54 31 1 17
55 35 0 14
56 34 1 14
57 30 2 17
58 34 0 15
59 32 2 15
60 36 0 13
61 33 1 15
62 37 0 12
63 31 0 18
64 35 0 14
65 34 0 15
66 30 1 18
67 36 0 13
68 33 0 16
69 36 0 13
70 34 0 15
71 32 1 16
72 35 0 14
73 35 0 14
74 31 2 16
75 38 0 11
76 34 1 14
77 37 0 12
78 34 0 15
79 33 1 15
80 38 0 11
81 34 0 15
82 35 0 14
83 38 0 11
84 34 0 15
85 36 0 13
86 36 0 13
87 35 0 14
88 34 0 15
89 36 0 13
90 36 0 13
91 35 0 14
92 35 0 14
93 36 1 12
94 36 0 13
95 34 0 15
96 36 0 13
97 37 0 12
98 37 0 12
99 31 0 18
100 39 0 10
